,Address,Price,Stats,Link
61,"1514 CARLISLE AVE, Richmond, VA 23231","        $379,950      "," 3 Beds 3 Baths 1,680 Sq Ft ",https://www.remax.com//va/richmond/home-details/1514-carlisle-ave-richmond-va-23231/5881728213916332661/M00000643/2302774
62,"2404 MARION MASHORE ST, Richmond, VA 23224","        $215,000      "," 3 Beds 3 Baths 1,600 Sq Ft ",https://www.remax.com//va/richmond/home-details/2404-marion-mashore-st-richmond-va-23224/2963160082385193305/M00000643/2302782
63,"1202 N 23RD ST, Richmond, VA 23223","        $374,950      "," 3 Beds 3 Baths 1,934 Sq Ft ",https://www.remax.com//va/richmond/home-details/1202-n-23rd-st-richmond-va-23223/15497197418823893251/M00000643/2303528
64,"1822 KESWICK AVE, Richmond, VA 23224","        $150,000      ", 3 Beds 1 Baths 672 Sq Ft ,https://www.remax.com//va/richmond/home-details/1822-keswick-ave-richmond-va-23224/15273664842816884103/M00000643/2303572
65,"2116 LAMB AVE, North, VA 23222","        $110,000      ",   0.07  Acres,https://www.remax.com//va/richmond/home-details/2116-lamb-ave-richmond-va-23222/5989074774222317371/M00000643/2303612
66,"1101 HAXALL POINT # U211, Richmond, VA 23219","        $239,000      ", 1 Beds 1 Baths 773 Sq Ft ,https://www.remax.com//va/richmond/home-details/1101-haxall-point-u211-richmond-va-23219/3492551847622354869/M00000643/2303620
67,"2120 LAMB AVE, North, VA 23222","        $110,000      ",   0.07  Acres,https://www.remax.com//va/richmond/home-details/2120-lamb-ave-richmond-va-23222/360679656320608894/M00000643/2303621
68,"2128 LAMB AVE, North, VA 23222","        $110,000      ",   0.09  Acres,https://www.remax.com//va/richmond/home-details/2128-lamb-ave-richmond-va-23222/5447117964583466726/M00000643/2303622
69,"2124 LAMB AVE, North, VA 23222","        $110,000      ",   0.08  Acres,https://www.remax.com//va/richmond/home-details/2124-lamb-ave-richmond-va-23222/7020090573054984386/M00000643/2303623
70,"1729 PORTER ST, Richmond, VA 23224","        $289,950      "," 4 Beds 2 Baths 2,552 Sq Ft ",https://www.remax.com//va/richmond/home-details/1729-porter-st-richmond-va-23224/1316566974725340065/M00000643/2303637
71,"1713 N 25TH ST, Richmond, VA 23223","        $195,000      ", 2 Beds 1 Baths 676 Sq Ft ,https://www.remax.com//va/richmond/home-details/1713-n-25th-st-richmond-va-23223/8328011538039439888/M00000643/2303638
72,"311 N 30TH ST, Richmond, VA 23223","        $619,995      "," 3 Beds 3 Baths 1,606 Sq Ft ",https://www.remax.com//va/richmond/home-details/311-n-30th-st-richmond-va-23223/7550289018945788217/M00000643/2303639
73,"3522 E RICHMOND RD # U108, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3522-e-richmond-rd-u108-richmond-va-23223/14238934016196069675/M00000643/2303722
74,"3520 E RICHMOND RD # U107, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 780 Sq Ft ,https://www.remax.com//va/richmond/home-details/3520-e-richmond-rd-u107-richmond-va-23223/7107148962550762202/M00000643/2303765
75,"3509 BRIEL ST # U103, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3509-briel-st-u103-richmond-va-23223/18073020110479186959/M00000643/2303768
76,"3507 BRIEL ST # U109, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3507-briel-st-u109-richmond-va-23223/5379404545357403387/M00000643/2303769
77,"3507 BRIEL ST # U104, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3507-briel-st-u104-richmond-va-23223/7658047563163840290/M00000643/2303771
78,"3506 E RICHMOND RD # U109, Richmond, VA 23223","        $150,000      ", 2 Beds 1 Baths 822 Sq Ft ,https://www.remax.com//va/richmond/home-details/3506-e-richmond-rd-u109-richmond-va-23223/8592327754537222232/M00000643/2303773
79,"1708 W CARY ST UNIT 11, Richmond, VA 23220","        $398,888      "," 2 Beds 3 Baths 1,378 Sq Ft ",https://www.remax.com//va/richmond/home-details/1708-w-cary-st-unit-11-richmond-va-23220/6554308146424172990/M00000643/2302384
80,"601 BYSWICK LN, Richmond, VA 23225","        $249,900      "," 3 Beds 1 Baths 1,184 Sq Ft ",https://www.remax.com//va/richmond/home-details/601-byswick-ln-richmond-va-23225/4860748066324629771/M00000643/2302739
81,"2915 CREIGHTON RD, Richmond, VA 23223","        $135,000      ", 2 Beds 1 Baths 696 Sq Ft ,https://www.remax.com//va/richmond/home-details/2915-creighton-rd-richmond-va-23223/6747399995235859744/M00000643/2303294
82,"2515 FLOYD AVE, Richmond, VA 23220","        $790,000      "," 3 Beds 4 Baths 2,435 Sq Ft ",https://www.remax.com//va/richmond/home-details/2515-floyd-ave-richmond-va-23220/1985295419006220830/M00000643/2303417
83,"1521 GLENSIDE DR, Richmond, VA 23226","        $424,900      "," 3 Beds 2 Baths 1,296 Sq Ft ",https://www.remax.com//va/richmond/home-details/1521-glenside-dr-richmond-va-23226/14437532835407710577/M00000643/2303445
84,"3308 WAVERLY BLVD, Henrico, VA 23222","        $314,700      "," 4 Beds 3 Baths 1,640 Sq Ft ",https://www.remax.com//va/richmond/home-details/3308-waverly-blvd-richmond-va-23222/1281970874562278571/M00000643/2303457
85,"715 AKRON ST, Richmond, VA 23222","        $293,459      "," 3 Beds 2 Baths 1,020 Sq Ft ",https://www.remax.com//va/richmond/home-details/715-akron-st-richmond-va-23222/18027789566407847256/M00000643/2303474
86,"5501 HULL STREET RD, Richmond, VA 23224","        $230,000      "," 2 Beds 1 Baths 1,512 Sq Ft ",https://www.remax.com//va/richmond/home-details/5501-hull-street-rd-richmond-va-23224/3431069738780741408/M00000643/2303494
87,"2930 VESPER RD, Richmond, VA 23225","        $349,900      "," 4 Beds 2 Baths 2,219 Sq Ft ",https://www.remax.com//va/richmond/home-details/2930-vesper-rd-richmond-va-23225/14407568117163466893/M00000643/2303508
